,Environmental,Market,Institutional,Social
Spatial relocation of resources,1_a_MEX; 1_a_PER,,,1_d_MEX
Modify fishing activity,2_a_URY; 2_a_ECU,2_b_ECU; 2_b_MEX;,,2_d_PER
Increase inclusion / representation,3_a_PER,,3_c_MEX,
No-take zones,,,,
Collective action,5_a_ARG; 5_a_PER; 5_a_URY,,5_c_ARG; 5_c_MEX; 5_c_PER; 5_c_PER,5_d_ECU
Shortening supply chain,6_a_URY,6_b_MEX; 6_b_PER,,
Engage in Aquaculture / Mariculture,7_a_MEX,7_b_MEX,7_c_CHL,
Livelihood diversification,8_a_ARG; 8_a_PER,,,
Saving and financing mechanisms,,,9_c_MEX; 9_x_PER,
Changes to marketing strategies,10_a_URY,10_b_ECU; 10_b_ECU,,
